Country,Land.Use.Type,Amount
Cambodia,Total land area (km2),181035
Laos,Total land area (km2),236800
Myanmar,Total land area (km2),676578
Thailand,Total land area (km2),513120
Vietnam,Total land area (km2),332698
Cambodia,Agriculture area km2,59022.00829
Laos,Agriculture area km2,25331.84576
Myanmar,Agriculture area km2,130419.0697
Thailand,Agriculture area km2,219554.1961
Vietnam,Agriculture area km2,116332.1808
Cambodia,Cropped area km2,42048.69169
Laos,Cropped area km2,14876.96
Myanmar,Cropped area km2,112057.0134
Thailand,Cropped area km2,166322.8194
Vietnam,Cropped area km2,68670.53069
Cambodia,Land pastures and meadows,16973.3166
Laos,Land pastures and meadows,10454.88576
Myanmar,Land pastures and meadows,18362.05629
Thailand,Land pastures and meadows,53231.37667
Vietnam,Land pastures and meadows,47661.65008